"shipping_date","seller_name","buyer_name","buyer_address","buyer_city","buyer_zipcode","kode_resi"
"2022-12-01","Aksesmandiri.ID","Bob Yanuar","Jl RS Fatmawati 15 Golden Plaza Bl I/1-2","Jakarta Pusat","16250","933520221130202212015277"
"2022-12-01","Multi jaya 31","Amaluddin Djambak","Jl Raya Kosambi 8","Jakarta Barat","15683","92002022112820221201830"
"2022-12-01","K2 Official Store","Darminto Hartono","Jl Setiabudi 186","Kota Bandung","17151","902920221130202212017242"
"2022-12-01","Prepp Studio Official Store","Christiana Niowni","Jl Peta 62","Kota Bandung","17147","9447202211282022120164134"
"2022-12-01","erjucom","Eiffel Tedja","Jl Kwitang Raya 8 Ged Senatama","Jakarta Pusat","16366","940120221128202212018914"
"2022-12-01","COTTON GOODS STORE","Elsa Djauhari","Jl Ngagel Tirtosari 19","Kota Pasuruan","16072","9543202211282022120192157"
"2022-12-01","Guele Id","Darmadi Karjanto Putro","Jl Pinangsia III/15","Jakarta Pusat","17167","9105202211302022120168255"
"2022-12-01","inayafashion","Execorp Limited","Jl Raden Saleh Ruko Metro Permata Bl A-2/33","Jakarta Pusat","15758","95992022112820221201107178"
"2022-12-01","OTWOO Indonesia","Darwin Leo","Jl Cikini Raya 8","Jakarta Pusat","16509","9164202211292022120175246"
"2022-12-01","Apotek Rejeki Tomang Grogol Petamburan","Fabian Gelael","Jl Prof Surya Sumantri 16","Kota Bandung","16319","91292022112920221201108279"
"2022-12-01","Putra Jaya 88","Darwin Leo","Jl Cikini Raya 8","Jakarta Pusat","16509","953220221128202212017513"
"2022-12-01","Setia Mandiri Elektronik","Emily Waty Setiawan","Jl Lautze 87","Jakarta Pusat","17176","953920221128202212019941"
"2022-12-01","STUDIO TROPIK","Beng Phiau","Jl Baskara Sari 92","Kota Pasuruan","17038","9051202211292022120134226"
"2022-12-01","Kastil Drakula","Ance Anggraeny","Jl Garuda Dlm I Bl B/47","Kota Bandung","16576","910220221129202212011184"
"2022-12-02","ZenLiving","Execorp Limited","Jl Raden Saleh Ruko Metro Permata Bl A-2/33","Jakarta Pusat","15758","8776202211292022120210744"
"2022-12-02","AlteaCare Official Store","Bernie Prajoga","Jl Casa 2","Kota Bandung","16858","9328202211292022120244310"
"2022-12-02","Agenjaketbandung","Ananda Soewono","Jl Gorontalo 9","Jakarta Utara","16147","9660202212012022120210125"
"2022-12-02","YLV Smart Home","Darwin Silalahi","Jl Banyumanik Raya 77","Kota Solo","17056","1068120221201202212027695"
"2022-12-02","GrosirPakaianRajut","Andiko Ardi Purnomo","Jl Cipinang Cempedak II 14","Jakarta Selatan","16266","9187202211292022120218186"
"2022-12-02","Raja Stationery","ELVIN TJANDRA","Jl Tebet Tmr Dalam 7-I/5","Jakarta Pusat","16610","1026420221201202212029367"
"2022-12-02","USFA-STORE","Andre Johannes Mamuaya","Jl Arjuna III/15","Jakarta Selatan","15636","9857202212012022120220126"
"2022-12-02","Sido Muncul Store","Beata Ida Hartono","Jl Tj Batu 21 J/11","Kota Pasuruan","16975","10732202212012022120228276"
"2022-12-02","Toko NadyaNaira","Christian Parlaungan Mulyanto","Jl Cipaku I 43","Jakarta Pusat","16393","9351202211302022120260180"
"2022-12-02","Apotek Jihan Farma","Bobby Andhika","Jl Panti Asuhan 2","Jakarta Pusat","15502","8795202211302022120254273"
"2022-12-02","majafashionhouse","Jenny Elisabeth RG","Jl P Tubagus Angke 11 K-L","Jakarta Barat","15906","94132022113020221202115187"
"2022-12-02","ipstore_id","Muhammad Agus","Jl Balai Rakyat 3 RT 001/01","Jakarta Selatan","16710","90232022113020221202125204"
"2022-12-02","STUDIO TROPIK","Mugijanto Sugijono","Jl Dahlia Bl E/6 Kompl Tmn Modern","Jakarta Selatan","15432","104292022120120221202124226"
"2022-12-02","Proffe coffee","Edy Kusnadi","Jl Depsos Raya 42 B RT 008/01","Jakarta Selatan","17100","1035720221201202212028343"
"2022-12-02","Focallure Official Store","Belinda Natalia Tanoko","Jl Kutisari Raya 12","Kota Pasuruan","16899","8857202211292022120231228"
"2022-12-02","Pixy Official Store","Daswi Rayawang","Jl Sunan Giri 1 RT 012/15","Jakarta Pusat","17037","8976202211292022120279229"
"2022-12-02","K2 Official Store","Isenta Hioe","Jl Mandiri 9","Jakarta Barat","17224","9099202211302022120211442"
"2022-12-02","Livehaf Official","Beng Phiau","Jl Baskara Sari 92","Kota Pasuruan","17038","9609202211302022120234123"
"2022-12-02","Indah Jaya Tools","Darmo Suwito Barwin","Jl Jelambar Ilir 2","Jakarta Pusat","15353","960720221129202212027320"
"2022-12-02","bintang888","Andang Bachtiar","Jl Kedoya Akasia V Bl B/6 RT 006/04","Jakarta Utara","15394","11047202212012022120212300"
"2022-12-02","Livehaf Official","Darmo Suwito Barwin","Jl Jelambar Ilir 2","Jakarta Pusat","15353","9590202211302022120273123"
"2022-12-02","Apotek Kita Merdeka","Emi Sukiati Lasimon","Jl Letjen Haryono MT Kav 62 Wisma Korindo","Jakarta Pusat","16450","10184202212012022120296291"
"2022-12-02","msmo","Efrem Wardhana","Jl Salemba Raya Psr Kenari AKS 12","Jakarta Pusat","16239","10367202212012022120288129"
"2022-12-02","Make Over Official Shop","Isenta Hioe","Jl Mandiri 9","Jakarta Barat","17224","89192022112920221202114224"
"2022-12-02","Beli -Beli shop","Muhammad Aksa Mahmud","Jl Raya Semarang-Purwodadi Km 17 Semarang","Kota Solo","15494","93782022112920221202126286"
"2022-12-02","Ailive Store","Anak Agung Gde Agung","Jl Sisingamangaraja Km 5.5/10","Sumatera Utara","16555","108702022120120221202929"
"2022-12-02","Electron","BENNY IRSJAD","Jl Dr Setiabudhi 315","Jakarta Selatan","15258","907720221130202212023873"
"2022-12-03","Apotek Rio Bekasi Selatan","Evert Jimmy Lengkong","Jl Jend Urip Sumohardjo 31 E","Jakarta Pusat","17061","103152022120120221203101284"
"2022-12-03","AlteaCare Official Store","Alvin Gozali","Jl Kopo Ruko Kopo Permai Bl 6 AR/17","Kota Bandung","16263","930020221130202212033310"
"2022-12-03","erjucom","Johan Arifkaja Adi Lesmana","Jl Kertanegara 4","Jakarta Barat","16588","9914202212022022120311714"
"2022-12-03","Rumahku Official","Hiramsyah Sambudhy Thaib","Jl Tmn Apsari 9 C","Kota Pasuruan","15419","9299202211302022120311123"
"2022-12-03","Apotek Aulia Bekasi Utara","Andang Bachtiar","Jl Kedoya Akasia V Bl B/6 RT 006/04","Jakarta Utara","15394","10294202212012022120312289"
"2022-12-03","Deli Stationery","Hioe Isenta","Jl Pekayon 4","Jakarta Barat","16966","9618202211302022120310956"
"2022-12-03","Tissor Official","Darminto Hartono","Jl Setiabudi 186","Kota Bandung","17151","1000020221201202212037262"
"2022-12-03","Tissor Official","Muhammad Alatas","Jl Psr Blauran Baru C/3","Kota Pasuruan","16687","10856202212022022120312762"
"2022-12-03","luxcrime","Darwin Soegiatto","Jl Industri XXIV 988-989","Kota Solo","15213","10245202212012022120377227"
"2022-12-03","Apotek Rio Bekasi Selatan","Muhammad Alatas","Jl Psr Blauran Baru C/3","Kota Pasuruan","16687","102412022120120221203127284"
"2022-12-03","YOU Beauty Official","Johan Tandean","Jl Raya Kebayoran Lama Permata Kebayoran Plaza Bl A/12","Jakarta Barat","15719","102392022120220221203120225"
"2022-12-03","msmo","Jenny Elisabeth RG","Jl P Tubagus Angke 11 K-L","Jakarta Barat","15906","97812022120220221203115129"
"2022-12-03","Apotek Provita","Edy Kusnadi","Jl Depsos Raya 42 B RT 008/01","Jakarta Selatan","17100","10238202212022022120383304"
"2022-12-03","Fahrich Official Shop","Bernadette Ruth Irawati","Jl Rempoa Raya 45","Jakarta Selatan","16145","9785202212022022120343146"
"2022-12-03","msmo","Johan T. Gilbert","Jl Pluit Mas Raya VI A Bl G/9","Jakarta Barat","16577","89482022113020221203119129"
"2022-12-03","TheStore Collection","Beng Phiau","Jl Baskara Sari 92","Kota Pasuruan","17038","10220202212022022120334141"
"2022-12-03","KoboiTech","Benny Tjokrosapoetro","Jl Cideng Tmr 38","Jakarta Selatan","15744","989520221201202212034174"
"2022-12-03","GIZIDAT Official","Bayu Prawitasari","Jl Rajawali 24","Sumatera Utara","16282","10030202212022022120326317"
"2022-12-03","Quantum Home Appliances","Bayu Virgan Triyatno","Jl Kota Denpasarkpapan 29-31","Jakarta Selatan","15536","1050220221202202212032718"
"2022-12-03","Belanja Elektronik","Fabian Gelael","Jl Prof Surya Sumantri 16","Kota Bandung","16319","1104020221201202212031088"
"2022-12-03","MayKitchenware","Elvira Pudjiwati","Jl Raya Pasar Minggu Bl B/12","Jakarta Pusat","16563","9998202212022022120395194"
"2022-12-03","Apotek Sehat Kota Batu","Edy Kusnadi","Jl Depsos Raya 42 B RT 008/01","Jakarta Selatan","17100","10897202212022022120383290"
"2022-12-03","Setia Mandiri Elektronik","Darmo Suwito Barwin","Jl Jelambar Ilir 2","Jakarta Pusat","15353","913220221130202212037341"
"2022-12-03","Tentronics","Fabian Gelael","Jl Prof Surya Sumantri 16","Kota Bandung","16319","10165202212022022120310854"
"2022-12-03","Sora Knit","Alwi Alatas","Jl Tanjung 2","Kota Solo","17087","880220221130202212034203"
"2022-12-03","T & W","Evi Yulisma Harahap","Jl Kerinci 19","Jakarta Pusat","16526","10207202212022022120310453"
"2022-12-03","Quantum Home Appliances","Darwin Leo","Jl Cikini Raya 8","Jakarta Pusat","16509","982220221201202212037518"
"2022-12-03","STUDIO TROPIK","Darmoseputro","Jl Asia Afrika Plaza Senayan","Jakarta Pusat","15472","10387202212022022120374226"
"2022-12-03","Dolphin Tamiya Hobby","Bernie Prajoga","Jl Casa 2","Kota Bandung","16858","10753202212022022120344207"
"2022-12-03","Rahsa Nusantara Official","Daswi Rayawang","Jl Sunan Giri 1 RT 012/15","Jakarta Pusat","17037","9057202211302022120379316"
"2022-12-03","Glodok Shop Elektronik","BHAYANG SURYADIMADJA","Jl Gondangdia Lama 24","Jakarta Pusat","16116","991620221202202212034671"
"2022-12-03","Deli office automative","Danny Tjiu","Jl Tebet Brt I/2","Jakarta Pusat","16429","951520221130202212036564"
"2022-12-03","Apotek Sana Farma Majapahit","Eka Sinto Kasih Tjia","Jl Sri Tanjung Pd Wage Indah F/17-19","Kota Pasuruan","15430","10930202212012022120390308"
"2022-12-03","PINZY Official Store","Christian Leuchtenberg","Jl Puri Agung Mal Puri Indah Unit IU/1 C","Jakarta Pusat","17209","1080520221202202212035811"
"2022-12-03","OTWOO Indonesia","Johan Arifkaja Adi Lesmana","Jl Kertanegara 4","Jakarta Barat","16588","108082022120220221203117246"
"2022-12-03","play with kiddos","Ance Anggraeny","Jl Garuda Dlm I Bl B/47","Kota Bandung","16576","10318202212012022120311113"
"2022-12-04","Garaf Official","BENNY IRSJAD","Jl Dr Setiabudhi 315","Jakarta Selatan","15258","10285202212022022120438144"
"2022-12-04","ESQA Cosmetics","BENNY IRSJAD","Jl Dr Setiabudhi 315","Jakarta Selatan","15258","10039202212022022120438230"
"2022-12-04","Apotek Mario Cengkareng","Darmadi Karjanto Putro","Jl Pinangsia III/15","Jakarta Pusat","17167","9699202212012022120468305"
"2022-12-04","Apotek Aulia Bekasi Utara","Christian Parlaungan Mulyanto","Jl Cipaku I 43","Jakarta Pusat","16393","11087202212012022120460289"
"2022-12-04","Suplementory Official","Christiana Niowni","Jl Peta 62","Kota Bandung","17147","10064202212022022120464297"
"2022-12-04","Dolphin Tamiya Hobby","Hioe Isenta","Jl Pekayon 4","Jakarta Barat","16966","99022022120220221204109207"
"2022-12-04","SUN INDONESIA","Bob Yanuar","Jl Percetakan Negara II 24","Jakarta Pusat","16675","980020221202202212045383"
"2022-12-04","Toko Armada Satu","Darwin Silalahi","Jl Banyumanik Raya 77","Kota Solo","17056","10576202212022022120476127"
"2022-12-04","Maslinda Store","Bengt Carl Gustav Thornberg","Jl Arteri Mangga Dua Raya Pus Perdag Psr Pagi Mangga Dua Bl B/132","Jakarta Selatan","16702","1050820221202202212043579"
"2022-12-04","GrosirPakaianRajut","BHAYANG SURYADIMADJA","Jl Gondangdia Lama 24","Jakarta Pusat","16116","11039202212012022120446186"
"2022-12-04","Deli Stationery","Ananda Soewono","Jl Gorontalo 9","Jakarta Utara","16147","1086820221203202212041056"
"2022-12-04","Beauty is Here","Johan T. Gilbert","Jl Pluit Mas Raya VI A Bl G/9","Jakarta Barat","16577","100232022120220221204119232"
"2022-12-04","DUMA Official","Muhammad Alatas","Jl Psr Blauran Baru C/3","Kota Pasuruan","16687","109132022120120221204127174"
"2022-12-04","GrosirPakaianRajut","Elvira Pudjiwati","Jl Raya Pasar Minggu Bl B/12","Jakarta Pusat","16563","10006202212022022120495186"
"2022-12-04","Apotek Rio Bekasi","Bimo Pramudyo Soekarno","Jl Mutiara I 10","Jakarta Pusat","16667","10610202212022022120447274"
"2022-12-04","Deli Stationery","Elvira Pudjiwati","Jl Raya Pasar Minggu Bl B/12","Jakarta Pusat","16563","1093620221202202212049556"
"2022-12-04","Tissor Official","Amalia Aristiningsih","Jl Gn Sahari 51/12 A","Jakarta Barat","16325","102422022120320221204762"
"2022-12-04","Derossa store","Alvin Gozali","Jl Kopo Ruko Kopo Permai Bl 6 AR/17","Kota Bandung","16263","1097620221203202212043140"
"2022-12-04","Apotek Rio Bekasi Selatan","Andiko Ardi Purnomo","Jl Cipinang Cempedak II 14","Jakarta Selatan","16266","10810202212032022120418284"
"2022-12-04","Mesindo Jaya","Bayu Irianto","Jl Soka 24","Kota Bandung","16999","10029202212032022120425220"
"2022-12-04","L'Oreal Paris Official Store","Muhammad Alatas","Jl Psr Blauran Baru C/3","Kota Pasuruan","16687","98752022120220221204127242"
"2022-12-04","To Sehat Jakarta","Bayu Virgan Triyatno","Jl Kota Denpasarkpapan 29-31","Jakarta Selatan","15536","9764202212022022120427247"
"2022-12-04","Maximum Chemical","Emily Stephana Djauhari","Jl Tabanas 22 Kompl Bank","Jakarta Pusat","17000","10798202212032022120498270"
"2022-12-04","GIZIDAT Official","Amalia Aristiningsih","Jl Gn Sahari 51/12 A","Jakarta Barat","16325","1099020221201202212047317"
"2022-12-04","Markotashop","Bayu Virgan Triyatno","Jl Kota Denpasarkpapan 29-31","Jakarta Selatan","15536","10047202212022022120427189"
"2022-12-04","PSORIA Official","Daswi Rayawang","Jl Sunan Giri 1 RT 012/15","Jakarta Pusat","17037","10552202212012022120479318"
"2022-12-04","Zazah Queen","Efrem Wardhana","Jl Salemba Raya Psr Kenari AKS 12","Jakarta Pusat","16239","988220221201202212048827"
"2022-12-04","Make Over Official Shop","Hioe Isenta and Ivy Lianawati","Jl Raya Alternatif Cibubur 23","Jakarta Pusat","17067","97262022120220221204110224"
"2022-12-04","AnR-Shop","Mugijanto Sugijono","Jl Dahlia Bl E/6 Kompl Tmn Modern","Jakarta Selatan","15432","100552022120120221204124170"
"2022-12-04","lbagstore","Bob Yanuar","Jl Percetakan Negara II 24","Jakarta Pusat","16675","1061320221203202212045310"
"2022-12-04","luxcrime","Ance Anggraeny","Jl Garuda Dlm I Bl B/47","Kota Bandung","16576","10712202212022022120411227"
"2022-12-04","Wardah Official","Darmo Suwito Barwin","Jl Jelambar Ilir 2","Jakarta Pusat","15353","10816202212022022120473251"
"2022-12-04","PUTRI_GROUP","Muhammad Alatas","Jl Psr Blauran Baru C/3","Kota Pasuruan","16687","100172022120120221204127215"
"2022-12-04","Make Over Official Shop",NULL,NULL,NULL,NULL,"99012022120220221204224"
"2022-12-04","Herbal Store Bharata","BELLYANAWATY BUDIMAN","Jl Pangkalan","Jakarta Selatan","15508","10700202212032022120432294"
"2022-12-04","Apotek Mario Cengkareng","Bintoro Wong","Jl Talang Ujung 40 D","Jakarta Pusat","15341","10739202212012022120450305"
"2022-12-04","Satu Elektronik","Fabian Gelael","Jl Prof Surya Sumantri 16","Kota Bandung","16319","11029202212032022120410825"
"2022-12-04","Putra Jaya 88","David Alexander Yuwono","Jl Dr Cipto 48 A","Kota Solo","15318","972920221202202212048013"
"2022-12-04","Apotek Apollo Surabaya","Amalia","Jl Paseban 3 C","Jakarta Barat","16456","1001520221203202212046301"
"2022-12-05","OTWOO Indonesia","Bengt Carl Gustav Thornberg","Jl Arteri Mangga Dua Raya Pus Perdag Psr Pagi Mangga Dua Bl B/132","Jakarta Selatan","16702","10090202212032022120535246"
"2022-12-05","Apotek Sahabat Ambulu","Beng Phiau","Jl Baskara Sari 92","Kota Pasuruan","17038","9933202212042022120534283"
"2022-12-05","G21","Ananda Soewono","Jl Gorontalo 9","Jakarta Utara","16147","11028202212042022120510155"
"2022-12-05","Apotek Rio Bekasi Selatan","Christian Dieter Scholz","Jl Tmn Sari Raya 5 D","Jakarta Pusat","16817","9810202212042022120557284"
"2022-12-05","LUXEWARES","Christian Leuchtenberg","Jl Puri Agung Mal Puri Indah Unit IU/1 C","Jakarta Pusat","17209","1017620221202202212055819"
"2022-12-05","THENBLANK","Benny Tjokrosapoetro","Jl Cideng Tmr 38","Jakarta Selatan","15744","9817202212032022120541219"
"2022-12-05","Lalulaku","Christanto Santoso","JL. Kesehatan No. 3","Kota Sorong","17104","109092022120220221205566"
"2022-12-05","Apotek Batu Permata Bandung","Isenta Hioe","Jl Mandiri 9","Jakarta Barat","17224","105542022120420221205114288"
"2022-12-05","Dolphin Tamiya Hobby","Elvina Jonas Jahja","Jl Kayu Putih 7 A 8 Pulo Gadung","Jakarta Pusat","17050","10129202212022022120594207"
"2022-12-05","CrafTex","JENNY WIDJAJA","Jl Hayam Wuruk 120","Jakarta Barat","15841","106472022120320221205116114"
"2022-12-05","Goto Living","Effendy Husin","Jl Ampera Raya Kav I/5 Ged Satmarindo Lt 2","Jakarta Pusat","16277","1055920221203202212058736"
"2022-12-05","JOYKO Official","Bing Gondosubroto","Jl Prof Dr Latumeten 23","Jakarta Pusat","16339","1109920221203202212054999"
"2022-12-05","Menjual Serba Ada","Christian Dieter Scholz","Jl Tmn Sari Raya 5 D","Jakarta Pusat","16817","10012202212032022120557162"
"2022-12-05","Wardah Official","Bob Yanuar","Jl Percetakan Negara II 24","Jakarta Pusat","16675","10678202212032022120553251"
"2022-12-05","Make Over Official Shop","Andre Sukendra Atmadja","Jl Laksda M Nazir 11 U","Jakarta Selatan","16483","9893202212022022120522224"
"2022-12-05","Zazah Queen","Bob Yanuar","Jl RS Fatmawati 15 Golden Plaza Bl I/1-2","Jakarta Pusat","16250","1095520221204202212055227"
"2022-12-05","Bless Cosmetics ID","Ewik Hendri","Jl Jawa V Bl C/24","Jakarta Pusat","16677","106862022120220221205106238"
"2022-12-05","Lsean","Beata Ida Hartono","Jl Tj Batu 21 J/11","Kota Pasuruan","16975","1056320221204202212052834"
"2022-12-05","Belanja Elektronik","Andiko Ardi Purnomo","Jl Cipinang Cempedak II 14","Jakarta Selatan","16266","99772022120420221205188"
"2022-12-05","erjucom","Evie Raviana","Jl Tmn Duta Mas Bl B-4/2","Jakarta Pusat","15274","10571202212042022120510514"
"2022-12-05","Apotek Sami Sehat Delanggu","Muhammad Alatas","Jl Psr Blauran Baru C/3","Kota Pasuruan","16687","104422022120420221205127306"
"2022-12-05","House of Smith Official","Benny Tenges","Jl Gn Rahayu 1 A","Kota Bandung","16993","9680202212022022120540118"
"2022-12-05","SORU Indonesia","BELLYANAWATY BUDIMAN","Jl Pangkalan","Jakarta Selatan","15508","104402022120220221205323"
"2022-12-05","Apotek Aulia Bekasi Utara","Andre Johannes Mamuaya","Jl Arjuna III/15","Jakarta Selatan","15636","11026202212032022120520289"
"2022-12-05","inayafashion","Christian Parlaungan Mulyanto","Jl Cipaku I 43","Jakarta Pusat","16393","10724202212032022120560178"
"2022-12-05","Apotek Kenaiban","Andi Pravidia Saliman","Jl Angkasa Bl B-7/8","Jakarta Utara","15829","10726202212032022120516312"
"2022-12-05","Rumahku Official","Darmansjah Darsono","Jl Bantir 10 50651","Kota Solo","15323","1073320221204202212056923"
"2022-12-05","SanRes","Alvin Gozali","Jl Kopo Ruko Kopo Permai Bl 6 AR/17","Kota Bandung","16263","1038620221203202212053142"
"2022-12-05","NOSH","Beatrice El","Jl Tambak Anakan 9","Kota Pasuruan","17022","9706202212042022120529214"
"2022-12-05","X-Urband Official","Darminto","Jl Sukanagara 21","Kota Bandung","16297","10059202212032022120571124"
"2022-12-05","Apotek Rio Bekasi Selatan","Christian Parlaungan Mulyanto","Jl Cipaku I 43","Jakarta Pusat","16393","10364202212022022120560284"
"2022-12-05","SORU Indonesia","Basuiki Puspoputro","Jl Kb Jati C-14/54","Kota Bandung","17064","99612022120320221205243"
"2022-12-05","Pixy Official Store","Daswi Rayawang","Jl Sunan Giri 1 RT 012/15","Jakarta Pusat","17037","9797202212032022120579229"
"2022-12-05","Tissor Official","Beata Ida Hartono","Jl Tj Batu 21 J/11","Kota Pasuruan","16975","1079920221202202212052862"
"2022-12-05","Belanja Elektronik","Alwijaya Aw","Jl Laks L RE Martadinata 279","Jakarta Barat","16844","10800202212032022120558"
"2022-12-05","Miisoo Official Shop","Andi Pravidia Saliman","Jl Angkasa Bl B-7/8","Jakarta Utara","15829","103352022120220221205165"
"2022-12-05","Apotek Sehat Kota Batu","David Kristian","Jl Gedeh 30-A","Sumatera Utara","15313","10557202212042022120581290"
"2022-12-05","Wardah Official","Bobby Andhika","Jl Panti Asuhan 2","Jakarta Pusat","15502","9732202212022022120554251"
"2022-12-05","loekita grosir","Christian Sugiarto","Jl Cikini Raya 90 Hias Rias Plaza","Jakarta Pusat","15190","10321202212042022120562195"
"2022-12-05","Apotek Mario Cengkareng","Evie Raviana","Jl Tmn Duta Mas Bl B-4/2","Jakarta Pusat","15274","105182022120220221205105305"
"2022-12-05","Apotek Century Permata","Bayu Virgan Triyatno","Jl Kota Denpasarkpapan 29-31","Jakarta Selatan","15536","10594202212042022120527302"
"2022-12-05","luxcrime","Bayu Prawitasari","Jl Rajawali 24","Sumatera Utara","16282","10048202212032022120526227"
"2022-12-05","Dear Meee","Darmoseputro","Jl Asia Afrika Plaza Senayan","Jakarta Pusat","15472","1029020221204202212057452"
"2022-12-05","GrosirPakaianRajut","Andiko Ardi Purnomo","Jl Cipinang Cempedak II 14","Jakarta Selatan","16266","10830202212032022120518186"
"2022-12-05","Water.Online.Shop","Bernadette Ruth Irawati","Jl Rempoa Raya 45","Jakarta Selatan","16145","1063520221203202212054355"
"2022-12-05","STUDIO TROPIK","Bimo Pramudyo Soekarno","Jl Mutiara I 10","Jakarta Pusat","16667","10835202212042022120547226"
"2022-12-05","Dolphin Tamiya Hobby","Muhammad Alatas","Jl Psr Blauran Baru C/3","Kota Pasuruan","16687","105562022120320221205127207"
"2022-12-05","Freestyle-Official","Benjamin Wong Siong Yuit","Jl Kenyeri","Kota Denpasar","15743","10839202212032022120537119"
"2022-12-05","happymartonline","Mugijanto Sugijono","Jl Dahlia Bl E/6 Kompl Tmn Modern","Jakarta Selatan","15432","1004620221202202212051249"
"2022-12-05","GrafikaKita - Tech Official Jakarta","Emi Sukiati Lasimon","Jl Letjen Haryono MT Kav 62 Wisma Korindo","Jakarta Pusat","16450","1085320221204202212059687"
"2022-12-05","X-Urband Official","Andi Zainal A. Dulung","Jl Pagesangan IV 41","Kota Pasuruan","16529","10244202212042022120517124"
"2022-12-05","artacollection13","Johan Soedibjo","Jl Probolinggo 5","Jakarta Barat","17273","97792022120320221205118211"
"2022-12-05","Energi Herbals","Hioe Isenta","Jl Pekayon 4","Jakarta Barat","16966","102282022120420221205109262"
"2022-12-05","Apotek Provita","Andi Achmad Dara","Jl Sumagung III Kav Bulak K/5","Jakarta Utara","16681","10223202212042022120514304"
"2022-12-06","Fesyana Store","Ananda Soewono","Jl Gorontalo 9","Jakarta Utara","16147","11097202212032022120610190"
"2022-12-06","Emina Official Store","Christian Sugiarto","Jl Cikini Raya 90 Hias Rias Plaza","Jakarta Pusat","15190","10088202212032022120662234"
"2022-12-06","Baseus Official Store","Emi Sukiati Lasimon","Jl Letjen Haryono MT Kav 62 Wisma Korindo","Jakarta Pusat","16450","985920221205202212069665"
"2022-12-06","G21","Edy Kosasih","Jl Pd Kelapa Raya Bl BI-4 B-C RT 005/04 Pondok Kelapa","Jakarta Selatan","16647","10650202212032022120682155"
"2022-12-06","sahabatmulya74","Benny Tenges","Jl Gn Rahayu 1 A","Kota Bandung","16993","10066202212042022120640107"
"2022-12-06","Proffe coffee","Emil Abeng","Jl Kutisari Raya 12","Kota Pasuruan","16049","987320221205202212069743"
"2022-12-06","Wardah Official","Edy Suwarno","Jl Ciputat Raya 16","Jakarta Selatan","16820","11078202212042022120685251"
"2022-12-06","Herbal Store Bharata","Elvira Pudjiwati","Jl Raya Pasar Minggu Bl B/12","Jakarta Pusat","16563","11070202212042022120695294"
"2022-12-06","Apotek Aulia Bekasi Utara","BEATRICE EL","Jl Kb Jeruk 10","Jakarta Selatan","17233","11067202212052022120630289"
"2022-12-06","THENBLANK","Darwin Leo","Jl Cikini Raya 8","Jakarta Pusat","16509","10602202212042022120675219"
"2022-12-06","Apotek Sumber Sehat 1","Andre Sukendra Atmadja","Jl Laksda M Nazir 11 U","Jakarta Selatan","16483","10481202212032022120622303"
"2022-12-06","Erigo Official","Andre S Prijono","12550 Workshop ","Jakarta Selatan","15339","10680202212042022120621166"
"2022-12-06","Aerostreet","Muhammad Agus","Jl Balai Rakyat 3 RT 001/01","Jakarta Selatan","16710","106882022120520221206125120"
"2022-12-06","MR12 Office","Andre Sukendra Atmadja","Jl Laksda M Nazir 11 U","Jakarta Selatan","16483","10472202212032022120622103"
